2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-16 17:53:38 {'x_pos': 4003, 'y_pos': 3496, 't_pos': -9606, 'x_vel': 0, 'y_vel': 0, 't_vel': -30232}
2024-07-16 17:53:38 {'yaw': 3586, 'pitch': 25, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
