2024-07-03 17:40:59 {'S1': 0, 'S2': 0, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 11, 'S2': 12, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 12, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 12, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 12, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 13, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 13, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 12, 'S2': 13, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 13, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 13, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 13, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 14, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 14, 'S2': 14, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 14, 'S2': 15, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 14, 'S2': 15, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 14, 'S2': 15, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 15, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 15, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 15, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 16, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 16, 'S2': 16, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 16, 'S2': 17, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 16, 'S2': 17, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 16, 'S2': 17, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 17, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 17, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 17, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 18, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 19, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 19, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 19, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 18, 'S2': 19, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 19, 'S2': 19, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 19, 'S2': 20, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 19, 'S2': 20, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 19, 'S2': 20, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 19, 'S2': 20, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 20, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 20, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 21, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 22, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 22, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 22, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 22, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 21, 'S2': 22, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 22, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 22, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 22, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 22, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 22, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 23, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 24, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 24, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 24, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 24, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 23, 'S2': 24, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:40:59 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 24, 'S2': 25, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 25, 'S2': 26, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 25, 'S2': 26, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 25, 'S2': 26, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 25, 'S2': 26, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 25, 'S2': 26, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 26, 'S2': 27, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 27, 'S2': 28, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 27, 'S2': 28, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 27, 'S2': 28, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 27, 'S2': 28, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 27, 'S2': 28, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 28, 'S2': 29, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 30, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 30, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 30, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 30, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 30, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 29, 'S2': 31, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 30, 'S2': 31, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 30, 'S2': 31, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 30, 'S2': 31, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 30, 'S2': 31, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 30, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 32, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 31, 'S2': 33, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 33, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 33, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 33, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 33, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 32, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 33, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 33, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 33, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 33, 'S2': 34, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 33, 'S2': 35, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 35, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 35, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 35, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 35, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 34, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 36, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 37, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 35, 'S2': 37, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 36, 'S2': 37, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 36, 'S2': 37, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 36, 'S2': 37, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 36, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 36, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 38, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 39, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 37, 'S2': 39, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 38, 'S2': 39, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 38, 'S2': 39, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 38, 'S2': 39, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 38, 'S2': 40, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 38, 'S2': 40, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 40, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 40, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 40, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 39, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 41, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 42, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 42, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 40, 'S2': 42, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 41, 'S2': 42, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 41, 'S2': 42, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 41, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 41, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 41, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 43, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 44, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 44, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 42, 'S2': 44, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 44, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 44, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 43, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 44, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 44, 'S2': 45, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 44, 'S2': 46, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 44, 'S2': 46, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 44, 'S2': 46, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 46, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 46, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 45, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 47, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 48, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 48, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 48, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 46, 'S2': 48, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 47, 'S2': 48, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 47, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 47, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 47, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 47, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 49, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 50, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 50, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 50, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 48, 'S2': 50, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 49, 'S2': 50, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 49, 'S2': 51, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 49, 'S2': 51, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 49, 'S2': 51, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 49, 'S2': 51, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 50, 'S2': 51, 'V1': 0, 'V2': 0}
2024-07-03 17:41:00 {'S1': 50, 'S2': 52, 'V1': 100, 'V2': 102}
2024-07-03 17:41:00 {'S1': 50, 'S2': 52, 'V1': 100, 'V2': 102}
2024-07-03 17:41:00 {'S1': 50, 'S2': 52, 'V1': 100, 'V2': 102}
2024-07-03 17:41:00 {'S1': 50, 'S2': 52, 'V1': 100, 'V2': 102}
2024-07-03 17:41:00 {'S1': 50, 'S2': 52, 'V1': 100, 'V2': 102}
